image_filename,opencv_haar,insightface,mtcnn,yolo_face,face_detection,face_detection_tflite
haan_ghil_muulnaat_1780561528976.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561529549.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561530117.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561530905.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561531705.png,0,1,0,0,0,0
haan_ghil_muulnaat_1780561532315.png,0,1,0,1,0,1
haan_ghil_muulnaat_1780561532906.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561533625.png,0,0,0,1,0,0
haan_ghil_muulnaat_1780561534373.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561535136.png,1,0,0,0,0,1
haan_ghil_muulnaat_1780561535742.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561536360.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561537133.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561537765.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561538348.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561539133.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561539792.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561540393.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561541143.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561541923.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561542695.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561543232.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561543819.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561544438.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561545205.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561545800.png,1,1,1,0,1,1
haan_ghil_muulnaat_1780561546554.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561547317.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561547947.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561548578.png,0,0,0,0,0,0
haan_ghil_muulnaat_1780561549383.png,0,1,0,1,0,0
haan_ghil_muulnaat_1780561549990.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561550589.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561551365.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561551964.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561552698.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561553413.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561553917.png,1,0,1,1,0,0
haan_ghil_muulnaat_1780561554531.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561555096.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561555699.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561556259.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561556990.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561557714.png,0,1,1,1,1,0
haan_ghil_muulnaat_1780561558317.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561559055.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561559771.png,0,1,1,1,0,0
haan_ghil_muulnaat_1780561560315.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561560870.png,1,1,1,1,0,1
haan_ghil_muulnaat_1780561561663.png,1,1,1,1,0,0
haan_ghil_muulnaat_1780561562248.png,0,1,0,1,0,1
haan_ghil_muulnaat_1780561563030.png,1,1,1,1,1,1
haan_ghil_muulnaat_1780561563595.png,0,1,1,1,1,1
haan_ghil_muulnaat_1780561564171.png,0,1,1,1,0,1
haan_ghil_muulnaat_1780561564802.png,0,1,1,1,1,1
